target_name,row_count,proposed_accession,uniprot_name,length_aa,organism,reviewed,confidence,confidence_reasoning,source_doi_checked,notes
"Rex fusion protein of Human T-lymphotropic virus 1 (HTLV-1)",1,P0C205,"Protein Rex",189,"Human T-cell leukemia virus 1 (strain Japan ATK-1)",yes,high,"P0C205 is the reviewed UniProt entry for HTLV-1 Rex (ATK-1 strain). The ATK-1 strain is the most widely used HTLV-1 lab strain. PMID:10233958 confirmed.",yes,"HIGH confidence — reviewed, correct protein. Note: 'Rex fusion protein' phrasing suggests the aptamer paper used a recombinant Rex; P0C205 is the native Rex sequence."
"Recombinant human E-selectin/IgG-Fc-chimeras",1,P16581_policy,"E-selectin",610,"Homo sapiens",yes,design_question,"P16581 is the reviewed UniProt entry for human E-selectin. The target is an E-selectin/IgG-Fc chimeric fusion protein — a common tool for studying selectin biology. The IgG-Fc tag (Fc region of IgG, not a standard UniProt entry) is a purification/avidity artifact. DESIGN QUESTION: use E-selectin sequence (P16581) and acknowledge the Fc tag as irrelevant to aptamer binding, or blank?",no,"DESIGN QUESTION: chimeric construct. If aptamer binds E-selectin's lectin domain, P16581 is appropriate. Fc region is typically not the binding target in E-selectin studies."
"Isoleucyl-tRNA synthetase (tRNAIle)",1,P00956,"Isoleucine--tRNA ligase (IleRS)",938,"Escherichia coli K12",yes,high,"PMID:8610114: 'Protein synthesis editing by a DNA aptamer' by Hale & Schimmel (MIT 1996) — this landmark paper on IleRS editing was done using E. coli IleRS. P00956 (938aa, E. coli K12, reviewed) is the confirmed target.",yes,"HIGH confidence — E. coli IleRS is the canonical IleRS for editing mechanism studies; Hale & Schimmel used E. coli exclusively."
"RNase H2 from Clostridium difficile (C. difficile) (CDH2)",1,Q18BC9,"Ribonuclease HII",255,"Clostridioides difficile (strain 630)",yes,high,"Q18BC9 is the reviewed entry for RNase HII from C. difficile strain 630. Exact organism and enzyme match. PMID:33410654 confirmed.",yes,"HIGH confidence — reviewed, correct organism and enzyme. Note: 'CDH2' in the target name is a dataset-internal identifier, not a gene symbol."
"Hepatitis C virus (HCV) envelope surface glycoprotein E2",1,P27958,"Genome polyprotein (E2 within aa 384-746)",3011,"Hepatitis C virus genotype 1a (isolate H77)",yes,medium,"PMID:19997645 (Chen et al. 2009, Wuhan University): aptamers against HCV E2 for diagnostics. Chinese groups typically use HCV genotype 1b. P27958 (genotype 1a H77) or Q9WMX2 (genotype 1b Con1) are candidates. E2 is encoded within the polyprotein (aa 384-746 in genotype 1b). Policy: use full polyprotein or just E2 domain?",yes,"MEDIUM — strain uncertain (1a vs 1b), policy question on polyprotein vs domain. The 'E3' and 'E4' entries sharing this PMID are likely aptamer clone names mislabeled as protein names."
"Hepatitis C virus (HCV) envelope surface glycoprotein E3",1,ARTIFACT,"Not a standard HCV protein (likely aptamer clone label misrecorded as target_name)",N/A,"Hepatitis C virus",N/A,data_artifact,"HCV does not have an 'E3' envelope glycoprotein — standard HCV structural proteins are core, E1, E2, p7, NS2, etc. This entry shares PMID:19997645 with the E2 rows. 'E3' and 'E4' are most likely aptamer clone designations (e.g., 'E2-aptamer clone 3/4') that were incorrectly captured as protein target names during scraping.",yes,"ACTION: these rows likely target HCV E2 (same paper). Consider correcting target_name to 'Hepatitis C virus (HCV) envelope surface glycoprotein E2' and applying P27958 or Q9WMX2 — but only after confirming from the paper that E3/E4 are clone labels not protein names."
"Nucleoprotein (NP) of the crimean-congo hemorrhagic fever (CCHF) virus",1,P89522,"Nucleoprotein",482,"Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970)",yes,medium,"P89522 (reviewed, 482aa) is CCHF NP from the Nigeria/IbAr10200/1970 strain — the reference laboratory strain. PMID:34135365 likely used a standard CCHF NP construct; the Nigeria strain is most commonly used for diagnostic aptamer work. Strain match not confirmed.",no,"MEDIUM: strain match not confirmed. CCHF NP from different strains shares ~80-90% identity — acceptable for ESM-2 representation, but strain confirmation preferred."
"Hepatitis C virus (HCV) envelope surface glycoprotein E4",1,ARTIFACT,"Same artifact as E3 above — likely aptamer clone label",N/A,"Hepatitis C virus",N/A,data_artifact,"Same as E3 analysis above — shares PMID:19997645, HCV E4 is not a standard protein.",yes,"Same action as E3: likely clone labels, not protein names."
"N-terminal region of Recombinant human connective tissue growth factor (rhCTGF)",1,P29279,"CCN family member 2 (CTGF/CCN2)",349,"Homo sapiens",yes,medium_policy,"Same protein as 'C-terminal region rhCTGF' (5 rows). P29279, 349aa. Policy decision on fragment aptamers applies. The N-terminal domain is approx aa 1-125 (IGF-binding module).",yes,"POLICY DECISION — same as the C-terminal region CTGF rows. One paper (PMID:25603056) covers both N-terminal and C-terminal CTGF entries."
"Matrix binding domain [MBD] Hepatitis B capsid",1,P03146,"Capsid protein (HBc)",183,"Hepatitis B virus genotype D subtype ayw (France/Tiollais/1979)",yes,medium,"PMID:26136564 (Orabi et al. 2015, Helmholtz): 'An Aptamer against the Matrix Binding Domain on the Hepatitis B Virus Capsid Impairs Virion Formation.' HBV HBc protein is the capsid. P03146 (genotype D, 183aa, reviewed) or P03148 (genotype A2, 185aa, reviewed) are candidates. The 'matrix binding domain' is the C-terminal arginine-rich domain of HBc. Strain assignment requires checking if the paper used HBV-D or HBV-A.",yes,"MEDIUM — correct protein, strain uncertainty. Genotype D (P03146) is the most common research strain. Read PMID:26136564 for genotype used."
"Major urinary protein 13 (MUP13) (rat urine biomarker)",1,UNRESOLVED,"Rattus norvegicus MUP13 (~178aa)",178,"Rattus norvegicus",no,unresolved,"MUP13 is a member of the major urinary protein family in rat. Search returned M0R620 (TrEMBL, 178aa, rat, 'Lipocalin/cytosolic fatty-acid binding domain-containing protein') as the only candidate — size consistent with MUPs (~175-180aa). Cannot confirm this is specifically MUP13 without gene-level verification. PMID:35026634 may provide the MUP13 sequence used.",no,"Requires TrEMBL gene-level search for 'mup13' in Rattus norvegicus. M0R620 is a plausible but unconfirmed candidate."
"M3 HIV-1 RT",1,P04585,"Gag-Pol polyprotein (RT within aa 557-751 of processed p51/p66)",1435,"Human immunodeficiency virus type 1",yes,high,"'M3' is a garbled prefix — the actual target is HIV-1 reverse transcriptase (RT). P04585 is already in the project's override table under 'Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT)'. The garbled 'M3' name would not match the existing override entry. PMID:18948292 is an HIV-1 RT aptamer paper.",yes,"HIGH confidence for P04585. Add 'M3 HIV-1 RT' garbled name to protein_name_overrides.csv pointing to P04585."
"Β-casomorphin-7 (BCM-7)",1,NOT_A_PROTEIN,"Beta-casomorphin-7 is a 7-residue opioid peptide (YPFPGPI) from bovine beta-casein hydrolysis",N/A,"Derived from bovine beta-casein (P02666)",N/A,reclassify,"BCM-7 is a heptapeptide (7 amino acids: YPFPGPI) released by proteolytic digestion of bovine beta-casein. It has NO UniProt protein_sequence entry — it is a metabolic peptide, not a protein. Even if we used bovine beta-casein (P02666, 224aa), the aptamer was selected against the 7-mer peptide, not the full protein. This target should be reclassified to 'other' (short synthetic peptide).",yes,"ACTION REQUIRED: reclassify target_type from 'protein' to 'other'. No sequence should be assigned — the 7-mer peptide is far too short to be meaningfully represented by ESM-2."
